上牌时间,表显里程,上牌地,迁入地为准,变速箱,排量,登记证为准,看车地址,年检到期,交强险,商业险到期,car_title,car_prices,car_newprices,car_url
2014-11,5.69万公里,徐州,国四,自动,1.5,0次过户,云龙,2020-11,2018-12,2018-12,福特 蒙迪欧 2013款 1.5L GTDi180时尚型,¥10.83 万,新车指导价20.60万(含税),https://www.guazi.com/xuzhou/c0e831b15d0b17fbx.htm
2016-09,5.95万公里,徐州,国五,自动,2.0,0次过户,云龙,2020-9,2019-5,已过期,宝马5系 2014款 520Li 典雅型,¥28.66 万,新车指导价47.30万(含税),https://www.guazi.com/xuzhou/3313d180a4dee49fx.htm
2014-11,7.19万公里,徐州,国四,自动,2.0,1次过户,云龙,2018-11,2018-11,已过期,奔驰E级 2015款 E 200 L,¥25.73 万,新车指导价46.60万(含税),https://www.guazi.com/xuzhou/87cbbd23b1706f3bx.htm
2016-01,8.17万公里,徐州,国四,自动,1.6,0次过户,邳州,2020-1,2019-1,已过期,大众 朗行 2015款 1.6L 自动舒适版,¥8.60 万,新车指导价15.20万(含税),https://www.guazi.com/xuzhou/cbd4923f385c078fx.htm
2012-09,4.51万公里,徐州,国四,自动,2.0,0次过户,云龙,2019-9,2019-8,已过期,雪佛兰 迈锐宝 2012款 2.0L 自动豪华版,¥7.62 万,新车指导价19.50万(含税),https://www.guazi.com/xuzhou/ec606009b9993800x.htm
2013-10,7.96万公里,徐州,国五,自动,2.0,0次过户,云龙,2019-10,2019-10,已过期,福特 蒙迪欧 2013款 2.0L GTDi240至尊型,¥11.65 万,新车指导价27.40万(含税),https://www.guazi.com/xuzhou/a417b0e0349ef34ax.htm
2015-08,6.66万公里,徐州,国五,自动,2.0,1次过户,云龙,2019-8,2019-9,2019-9,宝马5系 2014款 525Li 豪华设计套装,补贴后30.27 万,原价31.06万,https://www.guazi.com/xuzhou/75673530d883a63fx.htm
2017-10,1.25万公里,徐州,国五,自动,1.6,0次过户,云龙,2019-10,2019-8,已过期,现代ix25 2015款 1.6L 自动两驱智能型GLS,¥9.42 万,新车指导价15.50万(含税),https://www.guazi.com/xuzhou/bac6d6b6b87f5502x.htm
2017-01,5万公里,徐州,国五,自动,2.0,0次过户,云龙,2019-1,2018-11,2018-11,福特 锐界 2016款 EcoBoost 245 两驱豪锐型 7座,补贴后19.61 万,原价20.5万,https://www.guazi.com/xuzhou/3662b3052eb63230x.htm
2016-02,7.21万公里,徐州,国五,自动,2.0,0次过户,云龙,2020-2,2019-1,已过期,福特 金牛座 2015款 EcoBoost 245 豪华型,¥15.10 万,新车指导价29.20万(含税),https://www.guazi.com/xuzhou/eff4e4c3804b2907x.htm
